node,degree,shell_index,approx_closeness,approx_betweenness,approx_eigenvector
0,31,13,34.29999999999999,560.4797286684541,0.0062825517581213694
1,1,1,21.969047619047604,0.0,1.7745426048025446E-5
2,39,15,33.333333333333314,742.7527106770452,0.011989208789771623
3,30,15,34.91666666666664,964.519872572858,0.025964750712227758
4,1,1,26.9333333333333,0.0,7.08456224377165E-4
5,3,3,28.883333333333315,6.122367760880932,0.0010248131236871502
6,2,2,27.40952380952378,10.208862746478738,2.456770356813249E-4
7,1,1,21.35714285714284,0.0,1.6849957858366047E-6
8,33,10,32.91666666666665,1028.2044331344116,0.0070964991435095975
9,1,1,20.46190476190475,0.0,6.384369913604163E-7
10,1,1,26.14285714285711,0.0,6.15033397215735E-4
11,3,3,27.799999999999976,0.1906641654253955,6.710402739356673E-4
12,36,14,32.73333333333331,262.5129864656729,0.0019611956712410807
13,9,8,31.09999999999998,98.35974591649992,0.0037073905130360686
14,3,2,21.384523809523795,117.0,1.768907723385508E-5
15,6,3,25.859523809523786,82.3145789750433,3.4768135479899446E-4
16,5,5,26.01666666666664,0.2005221805306138,1.0779729894230407E-4
17,7,6,26.62619047619044,10.434451534654752,2.0838902630004394E-4
18,3,3,24.94285714285711,0.0,1.1535289623617645E-4
19,6,6,28.583333333333314,34.64955877994663,0.0010523395474209079
20,5,5,23.702380952380924,2.8570510400802474,1.3895442369816954E-5
21,6,6,29.11666666666665,3.2999537132419223,0.0016807117441948042
22,1,1,22.98095238095236,0.0,5.156781685660563E-5
23,7,6,28.616666666666646,3.392291397632652,0.0014515225216366748
24,17,13,30.899999999999977,10.558117318544987,0.0012375469378311564
25,4,4,24.65952380952379,0.23517773878460507,5.3751328082217725E-5
26,4,4,26.89999999999997,11.031270319314725,8.01216122457132E-5
27,6,6,27.86666666666664,16.059207644388625,4.985920879023401E-4
28,18,9,29.56666666666665,124.25785820853487,6.696697620558713E-4
29,10,5,30.16666666666664,189.3253624447283,0.0030316059034380754
30,8,7,28.233333333333306,20.439820348153972,0.001274511086941013
