node,degree,shell_index,approx_closeness,approx_betweenness,approx_eigenvector
0,14,9,60.97619047619059,431.7713908187781,2.9293535899198023E-5
1,46,28,75.54285714285716,5839.595376881035,0.0012355329136766026
2,1,1,57.54166666666673,0.0,2.8993401027403934E-5
3,30,24,69.93333333333341,33.58891321346571,5.384613340211376E-4
4,10,9,64.5761904761906,194.0098432859419,3.328368200520839E-4
5,17,11,58.875000000000064,229.39447738375148,3.772323364813583E-5
6,7,7,64.3595238095239,18.70384205695193,2.780292454189278E-4
7,2,2,53.858333333333384,0.2857144217567715,3.4357811322092154E-6
8,42,31,70.2833333333334,168.25899720750664,0.001869779180512716
9,16,7,68.64285714285721,1056.639969650403,6.078318870425726E-4
10,20,18,63.209523809523915,5.4982033313308065,1.5254446615610193E-4
11,22,19,61.47619047619056,4.61815033929875,1.7102794859833774E-4
12,5,5,63.42619047619058,22.76754647692195,1.9974861427369354E-4
13,1,1,59.97619047619056,0.0,5.864375976451865E-5
14,80,37,71.70952380952389,335.29641015532997,9.809483013005801E-4
15,25,21,58.709523809523866,26.04942391043328,3.106965936358597E-4
16,11,10,58.65952380952387,3.7333786418814854,2.5908217532845788E-5
17,1,1,63.42619047619057,0.0,8.840446515637211E-5
18,39,25,64.44285714285725,20.105503630114377,2.034805726793743E-4
19,23,21,70.98333333333338,45.15141356697166,5.443322948753789E-4
20,1,1,54.341666666666704,0.0,4.626869713128765E-6
21,1,1,52.00833333333341,0.0,3.933666038203784E-6
22,64,35,72.47619047619052,205.13249428529997,9.48464281082082E-4
23,46,24,69.04285714285724,260.3455075857761,0.0010022861923095617
24,30,22,68.35952380952389,223.36273663242886,3.3178982094792973E-4
25,28,23,71.69285714285718,35.39337001069538,7.930994687485137E-4
26,61,22,68.89285714285722,773.3558748743287,7.241148736960667E-4
27,6,6,56.70833333333341,0.0841602199984602,1.4569091577022375E-5
28,39,26,72.43333333333337,748.8880113353218,8.491549695405368E-4
29,42,20,62.926190476190584,283.76447636287685,2.5295656233309506E-4
30,48,32,64.6500000000001,65.12494421038396,0.001260080327664067
31,36,14,71.15952380952389,573.0639552619422,7.611533937702632E-4
32,2,2,51.041666666666735,0.0,5.652708824592043E-6
33,18,18,73.11666666666667,11.533242341039564,0.001321972420181266
34,85,47,75.69999999999999,175.92265272388337,0.004337963227361034
35,211,69,80.69999999999999,1479.290076405505,0.02961773729194364
36,5,5,62.74285714285723,0.7364334266058886,1.5594529463439598E-4
37,9,8,62.87619047619057,32.53579008658433,1.7401694386889606E-4
38,56,37,79.74999999999996,990.1340608160872,0.002847061477372863
39,4,4,57.025000000000055,0.0,1.957164959203783E-5
40,192,61,79.56666666666663,1219.3976404241098,0.014063429512486805
41,7,6,62.442857142857235,50.36823314924045,1.3451915595703425E-4
42,3,3,55.64166666666674,0.18846290992632025,5.6095843398332455E-6
43,23,19,71.51666666666671,136.89956559683657,0.0014611497986414636
44,3,3,52.62500000000006,0.17764407398737694,3.2508033182838384E-6
45,4,4,59.692857142857235,3.780214451615157,3.755944723543824E-5
46,21,19,67.52619047619058,8.37115425436135,6.33078150362731E-4
47,8,7,62.84285714285726,4.1019639413488225,1.085412972400402E-4
48,9,9,58.85952380952387,0.36297003337936684,4.461317417611443E-5
49,22,14,63.95952380952392,171.05389376310134,1.296657077236599E-4
50,4,4,58.29285714285722,2.965006468673958,7.071056441871845E-5
51,38,22,65.77619047619058,113.92976303594985,3.48919738308641E-4
52,11,9,66.35952380952392,2.053421931440726,3.575080884219236E-4
53,58,51,70.6928571428572,27.856738775761404,0.009178397068208565
54,32,23,67.52619047619055,73.57154267657552,5.068382546946749E-4
55,11,9,56.409523809523876,8.49835613270348,3.2025532412091396E-5
56,7,6,62.192857142857235,948.3690557627187,6.742968129036873E-5
57,2,2,56.30833333333339,0.0015408320493066256,8.848003510850994E-6
58,34,24,63.2095238095239,11.596228129520252,2.6795492065830463E-4
59,23,20,65.54285714285726,31.810372714773226,9.222179311007542E-4
60,5,5,60.87619047619055,0.10941244629339794,7.697131218961396E-5
61,28,26,62.99285714285725,2.2460293287340023,0.0031436685176446815
62,56,37,69.70952380952387,196.36968280208347,0.004213236289338173
63,26,17,69.89285714285721,129.33954334541974,0.0010261137172428733
64,58,36,73.18333333333335,542.9409249520928,0.002220334635508809
65,7,5,56.60952380952385,14.335719098033747,1.2029409632380257E-5
66,12,9,63.609523809523935,170.1312107575185,2.0174182682860677E-4
67,9,7,57.12619047619052,123.89578919364365,2.7394683318187297E-5
68,10,8,61.791666666666764,8.454044428699055,3.8294942344825085E-4
69,10,9,67.00952380952393,34.868374273407476,4.6508899404647215E-4
70,14,12,64.09285714285727,47.263836068351814,2.2366826566875148E-4
71,7,7,61.159523809523904,1.0843907028636661,4.831294224580924E-5
72,4,4,58.09285714285721,1.373716995737679,5.7668213442890414E-5
73,6,4,52.391666666666715,0.8838200629947284,2.8577561248519653E-6
74,32,22,61.05952380952391,68.74366733370505,2.0643404250164776E-4
75,2,2,57.20952380952386,2.020010197930441,1.643242193805249E-5
76,5,5,56.325000000000045,1.5578634907164945,2.120177658237926E-5
77,1,1,64.70952380952393,0.0,1.9351492642353315E-4
78,39,23,73.8166666666667,1053.1611873396369,0.0018465287783697556
79,4,3,64.05952380952392,24.633172132640006,1.2099800707696481E-4
80,37,32,69.27619047619054,58.517300377475756,0.006266697907005966
81,12,7,60.44285714285722,70.52895907618583,1.3708190709832345E-4
82,5,5,56.2428571428572,0.0063915800510116645,1.0920740679492495E-5
83,40,24,66.97619047619058,256.54212709232957,3.985790938998742E-4
84,54,39,71.62619047619056,646.9379848804493,0.002331249180691511
85,22,18,70.04285714285722,83.54571805953971,5.41186804915074E-4
86,30,28,78.25952380952378,205.31344441484447,0.0029141954320042293
87,3,3,56.542857142857194,0.10839987373018832,1.9956204210075363E-5
88,4,3,58.07619047619056,6.024616070811562,2.477452977482734E-5
89,2,2,50.02500000000008,0.0,1.887589355979515E-6
90,29,21,68.85952380952389,29.358463897517783,6.777930962547925E-4
91,35,24,67.02619047619058,274.95785514455343,0.0010181208871161362
92,74,17,67.08333333333341,1337.6382806048948,2.972970947564643E-4
93,94,42,73.54285714285722,520.8333800437094,0.00609338173822312
94,1,1,50.2928571428572,0.0,1.924200157926918E-6
95,129,42,79.03333333333329,1375.008922698461,0.0035315680405615243
96,10,10,62.209523809523915,6.017652590046895,8.747215050324704E-5
97,3,3,61.50952380952389,0.00802897210664201,1.544641305419898E-4
98,25,19,64.20952380952392,31.968803604836317,2.207126582189423E-4
99,13,13,60.27619047619055,0.907086524877481,4.397624394908027E-5
100,13,13,63.592857142857255,6.537184196748436,7.394762024454925E-5
101,9,9,62.2095238095239,3.1854022901664623,1.2236226277330877E-4
102,22,18,75.4,69.83320978880549,0.0015694440744477374
103,73,38,71.6928571428572,100.28945697799364,0.002176335959120317
104,61,21,69.10952380952388,1003.1388091297752,4.448918455940576E-4
105,10,9,66.48333333333343,70.07335380464012,3.3408050737102876E-4
106,9,8,54.98333333333338,4.793563292796028,8.470819353843166E-6
107,4,4,60.308333333333415,0.056568191196937054,2.464495810937463E-4
108,19,15,67.17619047619057,49.44979736956733,0.0014901450543838093
109,16,14,65.0095238095239,24.47433441083188,2.0484218801850973E-4
